smiles,logBB
C1=CC(=CC=C1C(C#N)C2=C(C=C(C=C2Cl)N3C(=O)NC(=O)C=N3)Cl)Cl,-1.3
CCCN1C2=C(C(=O)N(C1=O)CCC)NC(=N2)C3CCC(=O)C3,-1.4
C[C@]12CC([C@H]3[C@H]([C@@H]1CC[C@@]2(C(=O)CO)O)CCC4=CC(=O)C=C[C@]34C)O,-0.18
CCNC1=C(N=CC=C1)N2CCN(CC2)C(=O)C3=CC4=C(N3)C=CC(=C4)OC,-0.01
CCCC(C)CC,0.9
C[C@]12CC[C@H]3[C@H]([C@@H]1C[C@@H]([C@@H]2O)F)CCC4=C3C=CC(=C4)O,-0.3
CC1=NC=C2N1C3=C(C=C(C=C3)Cl)C(=NC2O)C4=CC=CC=C4F,-0.3
CCCC(C)C1(C(=O)NC(=O)NC1=O)CC,0.1
CC2/C=[N+](C1CC(N=[N+]=N)C(CO)O1)\C(=O)NC2=O,-0.05
CC12CCC3C(C1CCC2O)CCC4=CC(=O)CCC34C,0.0
C1=CC(=CC=C1CCCC(=O)O)N(CCCl)CCCl,-1.7
COC1=C(C=C(C=C1)S(=O)(=O)NC2=C(C(=CC(=C2)Br)F)Br)N3CCNCC3,-0.52
CC1=CC(=CC=C1)C,0.2
C1C[C@@H]2NS(=O)(=O)C3=CC=CC=C3N2C1,-0.6
O=C1C2=C(C(O)=C(/C=N/N3CCN(C)CC3)C(NC(C/C(C)=C\C=C\[C@@H](C)C4O)=O)=C5O)C5=C(O)C(C)=C2O[C@]1(C)O/C=C/[C@@H]([C@H]([C@H]([C@H]([C@H]([C@@H]4C)O)C)OC(C)=O)C)OC,-1.52
CC(C)C(CCCNCCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC,-0.64
CC1=NC(=C(C(=O)N1CC(F)(F)F)C#N)N2CCC3=CC=CC=C3CC2,0.6
CCCC(C)C1(C(=O)NC(=O)NC1=O)CC=C,0.2
CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C,-0.3
COC1=CC2=C(C=C1CNC3CCCNC3C4=CC=CC=C4)N=C(S2)C5CC5,0.62
CC(C)(C)OC(=O)C1=C2[C@@H]3CCCN3C(=O)C4=C(N2C=N1)C=CC=C4Br,-0.09
CCCCCCCCC1(C(=O)NC(=O)NC1=O)CC,0.24
CC(C)C1=CC=C(SCCCC2CCN2C)C=C1,1.7
CCN(C)C(=O)OC1=CC=CC(=C1)[C@H](C)N(C)C,0.88
CN(C)CCCN1C2=CC=CC=C2CC3=CC=CC=C31,0.83
CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F,0.99
CN1CCN(CC1)C2=C(C=C3C(=C2F)N(C=C(C3=O)C(=O)O)CCF)F,-0.43
CC(C)(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,-0.12
COC1=C(C=C(C=C1)OC(F)(F)F)CN[C@H]2CCCN[C@@H]2C3=CC=CC=C3,1.11
C1CN(CCC1N2C3=C(C=C(C=C3)Cl)NC2=O)CCCN4C5=CC=CC=C5NC4=O,-0.8
CC(C)OC1=C(C=C(C=C1)OC(F)(F)F)CNC2CCCNC2C3=CC=CC=C3,0.41
CCC(C)(C)C,1.0
CCN(CCC#N)C1=CC=CC=C1,0.42
CC1=CC=CC=C1,0.4
CC(Cl)Cl,-0.28
O=C1N2C(c3nc4cc(O)c(CN(C)C)cc4cc3C2)=CC5=C1COC([S@]5(O)CC)=O,-0.42
CC(C)(C)OC(=O)C1=C2C3CCCN3C(=O)C4=C(N2C=N1)C=CC=C4Br,-0.09
C1C2CNCC1C3=CC=C(C(=O)N3C2)Br,-0.05
CC(C)CN(CC(C(CC1=CC=CC=C1)NC(=O)OC2CCOC2)O)S(=O)(=O)C3=CC=C(C=C3)N,-0.56
CC(C)C(CO)NC1=CC(=NC2=C(C(=NN12)NC3=CC(=CC(=C3)OC)OC)C(=O)N)C4CC4,-0.39
C1=CC(=C(C=C1C2=CSC(=N2)N=C(N)N)O)O,-1.54
CN1CCCC[C@@H]1CCN2C3=CC=CC=C3SC4=C2C=C(C=C4)SC,0.24
CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N(C)C,0.0
CN(C)CCCN1C2=CC=CC=C2CCC3=C1C=C(C=C3)Cl,1.04
CC1=C(C=CC=C1O)C(=O)NC(CSC2=CC=CC=C2)C(CN3CC4CCCCC4CC3C(=O)NC(C)(C)C)O,-0.93
CC[C@@]1(C[C@H]2C[C@@](C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O,-0.07
C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O,0.1
CC[CH]C(=C)CC,0.9
CC1=CC=C(C=C1)CN2C3=CC=CC=C3N=C2[C@H]4CNCCO4,0.36
CC1=C(N=C(C(=N1)C)C)C,-0.1
CC1(CN(C(=O)NC1=O)C)C2=CCCCC2,0.1
C1=CC=CC=C1,0.4
CCC1=CC=CC=C1,0.2
C1CCC(CC1)NC(=S)N2CCC(CC2)C3=CN=CN3,-0.2
C1=CN(C(=N1)[N+](=O)[O-])CC(COCF)O,-0.01
C(Cl)(Cl)Cl,0.3
CCCOC(=O)C1=CC=C(C=C1)N,0.55
CC(C)NCC(COC1=CC=C(C=C1)CCOCC2CC2)O,0.39
CC1=C(C(=O)N2C=CSC2=N1)CCN3CCC(=C(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F)CC3,0.3
COC1=C(C=C(C=C1)OC(F)(F)F)CN[C@H]2CCCN[C@H]2C3=CC=CC=C3,1.11
CC(=O)OC1=CC=CC=C1C(=O)[O-],-0.5
CN(C)C(=O)C(CCN1CCC(CC1)(C2=CC=C(C=C2)Cl)O)(C3=CC=CC=C3)C4=CC=CC=C4,0.77
CC[C@H](C)C(=O)O[C@H]1C[C@@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C,0.85
CN1CC[C@@]23CCCC[C@@H]2[C@@H]1CC4=C3C=C(C=C4)OC,0.02
NC(=O)[C@H]1C2=CC=CC=C2[C@H]2O[C@H]2C2=C1C=CC=C2,-0.34
[C@]23([C@]1([C@H](OC1)C[C@@H]([C@@]2(C([C@H](OC(C)=O)C=2C([C@]([C@@H]3OC(c1ccccc1)=O)(C[C@H](OC([C@H]([C@@H](c1ccccc1)NC(c1ccc(cc1)F)=O)O)=O)C2C)O)(C)C)=O)C)O)OC(C)=O)[H],0.19
CN(C)Cc1ccc(o1)SCCNc2c(N(=O)=O)cc[nH]2,-1.12
C1CCN(CC1)CC2=CC(=CC=C2)OCCCNC3=NC4=CC=CC=C4S3,0.1
C[C@](C1=CC=CC=C1)(C2=CC=CC=N2)OCCN(C)C,0.64
CC1=CC=C(C=C1)C2=C(N3C=C(C=CC3=N2)C)CC(=O)N(C)C,-0.48
C1CN(CCC1COC2=CC=C(C=C2)C#N)C/C=C/I,1.13
CCC1C(=O)N(CC(=O)N(C(C(=O)NC(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N1)C(C(C)CC=CC)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C,-0.78
CC(C)(C)C1=CN=C(O1)CSC2=CN=C(S2)NC(=O)C3CCNCC3,-0.01
CCCN(CCC)C1=CC(=NC2=C(C(=NN12)C)C3=CN=C(C=C3C)N(C)C)C,0.07
CC(C)CCO,0.04
CN(C)CCC1=CNC2=C1C=C(C=C2)C[C@H]3COC(=O)N3,-1.04
[Kr],-0.16
CN(C)CC1=CC=CC=C1SC2=C(C=C(C=C2)F)N,0.2
C1CC(=O)NC(=O)C1N2C(=O)C3=CC=CC=C3C2=O,-0.05
CC1CCCCC1,0.96
CC1=CC2=C(NC3=CC=CC=C3N=C2S1)N4CCN(CC4)C,0.78
CC1=NC=C(C=C1)CC2CNC(NC2=O)NCCCCC3=NC=C(C=C3C)Br,-1.88
Clc1ccc(Cl)c(c1)[NH+]=C2NCCN2,0.38
CC(=O)N1CCN(CC1)C2=CC=C(C=C2)OCC3CO[C@@](O3)(CN4C=CN=C4)C5=C(C=C(C=C5)Cl)Cl,-0.63
CC(C)N(CC(O)C)c1nnc(NNC(OCC)=O)cc1,-1.0
CNCCCN1C2=C(CCC3=CC=CC=C31)C=C(C=C2)O,0.53
[Ar],0.03
C(C(F)(F)F)(OC(F)F)F,0.11
CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4,0.0
OCCOCC[NH+]1CC[NH+](CC1)C(c2ccccc2)c3ccc(Cl)cc3,0.4
C1CN(CCC1CNC2=NC=CC=N2)C(=O)OCC3=CC=CC=C3,-0.37
COC1=CC2=C(OCC2)C(CN[C@H]2CCCN[C@@H]2C2=CC=CC=C2)=C1,0.39
C1=CC=C(C=C1)NC(=NC2=CC=CC=C2)N,0.0
CN(C)CC/C=C/1\C2=CC=CC=C2COC3=CC=CC=C31,1.0
CC(C)(C)OC(=O)C1=C2C3CCCN3C(=O)C4=C(N2C=N1)C=CC(=C4)Br,-0.09
CCC(CC(=O)N)(C1=CC=CC=C1)O,0.04
CC1(O[C@@H]2CO[C@@]3([C@H]([C@@H]2O1)OC(O3)(C)C)COS(=O)(=O)N)C,-0.07
C1=CC=C(C=C1)C(=O)N,-0.24
C(C(F)(F)F)(OC(F)F)Cl,0.42
C1CN(CCC1OC2=CC=CC(=C2)C(F)(F)F)CCCCNC(=O)C3=CC=NC4=CC=CC=C34,0.48
O[C@H]([C@]1([H])[C@@H](CC2)CC(C=C)[C@@H]2C1)c3c4cc(OC)ccc4ncc3,-0.7
CC(C)(C1=NC(=NO1)C2=C3CN(C(=O)C4=C(N3C=N2)C=CC=C4Cl)C)O,-1.34
C1=CC=C2C(=C1)C3=C(N2)C=NC=C3,0.48
CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O,-0.1
C1CN(CCC1CC2=CC=C(C=C2)F)CCS(=O)C3=CC4=C(C=C3)NC(=O)O4,-0.52
CNC(=C[N+](=O)[O-])NCCSCC1=CC=C(O1)CN(C)C,-1.23
CCN1C(=NC(=C(C1=O)[N+](=O)[O-])N2CCC3=CC=CC=C3CC2)C,0.04
CCS(=O)(=O)N1C2=C(CN(CC2)C3CCOCC3)C4=C1C=CC(=C4)C(=O)N5CCC(CC5)C,-1.15
CNC1CCC(C2=CC=CC=C12)C3=CC(=C(C=C3)Cl)Cl,1.6
C1=CC=C(C=C1)C2=NC(=C(N2)C3=CC=NC=C3)C4=CC(=C(C=C4)Cl)O,-1.0
CC(C(=O)O)O,0.16
C[N+]1=CC=CC=C1/C=N/O,-0.17
FS(F)(F)(F)(F)F,0.4
CC1=CN(N=C1)C2CCN(CC2)C3=NC4=CC=CC=C4N3CC5=CC=C(C=C5)F,0.32
C[C@]12CCN([C@@H]1N(C3=C2C=C(C=C3)OC(=O)NC)C)C,0.08
COC1=C(C=C(C=C1)N2CCCC2=O)CNC3CCCNC3C4=CC=CC=C4,-0.22
C1CN(CCN1C2=NN=C(C(=C2)C3=CC=NC=C3)C4=CC=CC=C4)C5=NC=CC=N5,-0.15
C1C(=NC2=C(C=C(C=C2)C#CC3=CC=CC=C3)NC1=O)C4=CC=CC(=C4)C#N,0.3
CN1CC(=O)N2C(C1=O)CC3=C(C2C4=CC5=C(C=C4)OCO5)NC6=CC=CC=C36,-1.0
C1CN(CCC12C(=O)NCN2C3=CC=C(C=C3)Br)CCCC(=O)C4=CC=C(C=C4)F,0.07
CN(C1CCN(CC1)CC(COC2=CC(=C(C=C2)F)F)O)C3=NC4=CC=CC=C4S3,0.59
CC(C)CN1CCN(CC1)C2=CC=C(C=C2)I,1.38
CC1=CC(=NN1CC2=C(C=CC(=C2)Cl)OCC(C)C)NC(=O)C3=CC=C(C=C3)CN4CCCC4,0.3
CCCN(CCC)S(=O)(=O)C1=CC=C(C=C1)C(=O)O,-0.4
[N-]=[N+]=O,0.03
[C@@H](C(F)(F)F)(Cl)Br,0.35
CCC1=CC=C(C=C1)C(=O)C(C)CN2CCCC2,1.08
F\C=C\O\C=C/F,0.13
CC1=C2OC3=C(C=CC=C3)C3(O)CNCC3C2=CC=C1,0.39
CC(=O)NC1C(C(C(OC1O)COS(=O)(=O)[O-])OC2C(C(C(C(O2)COS(=O)(=O)[O-])O)O)O)O.[Na+].[Na+],-1.54
C=C,0.3
CC1(NC=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4F)O,-0.07
CCCCCCC=C,0.74
CCC(C)N1CCN(CC1)C2=CC=C(C=C2)I,1.38
CC(C)(C)NC(=O)[C@@]1([C@]2(N1C2=O)C3=CC=C(C=C3)OCC4=CC=C(C=C4)Cl)C5=C(NC6=C5C=CC(=C6)Cl)C(=O)O,-0.46
CN(C)C1=C2C3=C(C(=O)N(C=N3)N4CCCCCC4)SC2=NC=C1,0.43
C1CCN(C1)CCN2C3=C(C=CC(=C3)NC(=O)CC4=CC=C(C=C4)OCC5=CC=CC=C5)C=N2,-0.2
CN(C)CCC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2,1.53
FC(F)(F)C1=CC(=NC(Cl)=C1)N1CCN(CCCCN2CCCC2=O)CC1,0.16
C1CCN(CC1)CC2=CC(=C(C=C2)I)CN3CCCCC3,0.98
C1CCC(CC1)C(CCN2CCCCC2)(C3=CC=CC=C3)O,1.32
O=S(O)(c2ccc1cc[nH]c1c2)N3CCCC3CCN5CCC(Oc4cccc(Cl)c4)CC5,0.92
CN(CC1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)C(=O)C2=C(C=CN=C2)C3=CC=CC=C3Cl,0.89
CC1=NC(=C2CCN(C2=N1)C3=C(C=C(C=C3)Cl)Cl)N4C=CC(=N4)C(F)(F)F,0.36
B(C1=CC=C(C=C1)C[C@@H](C(=O)O)N)(O)O,0.05
CNCCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl,1.4
C1CC1NC2=C3C(=NC(=N2)N)N(C=N3)[C@@H]4C[C@H](C=C4)CO,-0.22
CCOC(=O)NC1=NC(=C2C(=C1)NCC(=N2)CN(C)C3=CC=C(C=C3)OC)N,0.36
C1=CC=C(C(=C1)C(=O)NCC(=O)O)O,-0.44
c1c(c(ccc1CC(N)C(OCC\C(=C(/C)N(C)C([H])=O)SSC(C)C)=O)OC(=O)C(C)(C)C)OC(C(C)(C)C)=O,0.53
O=C1N([C@@H](C(N([C@@H](C(N[C@@H](C(N(C)CC(N([C@@H](C(N[C@@H](C(N([C@@H](C(N[C@@H](C(N[C@@H](C(N([C@@H](C(N([C@@H]1CC(C)C)C)=O)CC(C)C)C)=O)C)=O)C)=O)CC(C)C)C)=O)C(C)C)=O)CC(C)C)C)=O)=O)CC)=O)[C@@H]([C@H](C)/C=C/C)O)C)=O)CC(C)C)C,-0.78
[Ne],0.2
CN(C)C1CCN(CC2=CC=C(C=C2)C(=O)NC2=C(N)C=CC(=C2)C2=CC=CC=C2)CC1,-0.11
CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)CN2CCN(CC2)CC(C3=CC=C(C=C3)Cl)O,0.91
C1CN(CCC12C(CNC(=O)O2)C3=CC=CC=C3)C(=O)C4=CC(=CC(=C4)C(F)(F)F)C(F)(F)F,-0.66
CCCN(CC1CC1)C2=NC(=NC3=C2CCN3C4=C(C=C(C=C4)Cl)Cl)C,-0.22
CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl,0.49
CC12CCN(C1N(C3=C2C=C(C=C3)OC(=O)NC)C)C,0.08
CN(C)CC1=CC=C(O1)C2=CC(=CC=C2)NC3=C(C=CN3)[N+](=O)[O-],-0.27
CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC,-0.7
C1CC(C1)N2CCC(CC2)OC3=CC=C(C=C3)N4CCN(CC4=O)C(=O)C5=CC=C(C=C5)Cl,-0.4
CC1=CC=C(C=C1)/C(=C\CN2CCCC2)/C3=CC=CC(=N3)/C=C/C(=O)O,-1.14
C1=CC=C(C=C1)C(COC(=O)N)COC(=O)N,-0.19
C1CN(CCC1NC2=NNC3=C2C=C(C=C3)Cl)CC4=CC5=C(C=C4)OCO5,0.83
CC(C)N1CCC(CC1)COC2=NC(=NC(=C2C(=O)NC)NCC3CCC4(CCC4)CC3)C#N,0.08
C1=CC2=C3C(=C1)C=CC4=CC=CC(=C43)C=C2,0.23
CC1=NC2=C(S1)C=C(C(=C2)CNC3CCCNC3C4=CC=CC=C4)OC,0.48
CC1=CC(=CC=C1)OCC(CNC(C)C)O,0.28
COC1=NN=C(C=C1)NS(=O)(=O)C2=CC=C(C=C2)N,-0.85
O=C2C/C=[N+](C1CC(F)C(CO)O1)\C(=O)N2,-0.69
O=C(N(C1=CC=C(CCN2C(C)=O)C2=C1)N3CCN(CCC4CCCC4)CC3)/C=C/C5=CC(C#N)=CC=C5,-0.63
CC1=NC=C(N1)C2=CSC(=N2)N=C(N)N,-0.04
CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1,0.2
CCC(C1=CC=CC=C1)NC(=O)C2=C(C(=NC3=CC=CC=C32)C4=CC=CC=C4)C,0.3
CN1CCCC1C2=CN=CC=C2,0.24
O=C(N)Cc1ccc(OCC(NC(C)C)O)cc1,-1.42
CCCCCCN1CCN(CC1)C2=CC=C(C=C2)I,1.01
CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)OC)O[C@H]3[C@H](CC4)O,0.55
CC(C)(C)N1CCC(CC1)(C2=CC=CC=C2)C3=CC=CC=C3,0.66
CC1C(C2=CC=CC=C2N(C3=CC=CC=C13)C(=O)N)C,-0.34
CC(C)CN(C[C@H]([C@H](CC1=CC=CC=C1)NC(=O)O[C@@H]2CCOC2)O)S(=O)(=O)C3=CC=C(C=C3)N,-0.56
C1CN(CCC1(C2=CC=C(C=C2)Br)O)CCCC(=O)C3=CC=C(C=C3)F,1.38
CN1CCC[C@H]1C2=CN=CC=C2,0.4
CC1=CC(=C(C=C1)N=C2N(CCN2C)C)C,-1.3
COC1=CC2=C(C=C1)NN=C2NC3CCN(CC3)CC4=CC5=C(C=C4)OCO5,0.57
C1=C2C=NN(C2=CC(=C1Cl)Cl)CCN,0.11
CCCCCC(C)C,0.86
C1CN=C(N1)NC2=C(C=C(C=C2Cl)Cl)Cl,0.47
CC[C@@H](C)N1C(=O)N(C=N1)C2=CC=C(C=C2)N3CCN(CC3)C4=CC=C(C=C4)OC[C@@H]5CO[C@@](O5)(CSC6=NN=CN6C)C7=CC=C(C=C7)Cl,-0.7
C1C(=NC2=C(C=C(C=C2)C3=CC=CC=C3F)NC1=O)C4=CC(=NC=C4)C#N,-0.3
CC1=NC(=C(C(=O)N1)[N+](=O)[O-])N2CCC3=CC=CC=C3CC2,-0.59
CCOC(=O)C1=C2CN(C(=O)C3=C(N2C=N1)C=CC(=C3)F)CC[18F],-0.14
CC(C)C1=C(C(=C(N1CC[C@H](C[C@H](CC(=O)O)O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4,-1.36
CC1C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,-1.26
CC1=CN(C(=O)NC1=O)C2CC(C(O2)CO)N=[N+]=N,-0.72
CC1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O,-0.76
CCO,-0.2
COC1=CC=CN=C1CCCCNC(N2)=NC=C(CC3=CC=CC(C)=N3)C2=O,-1.3
C1CC(C1)N2CCC(CC2)OC3=CC=C(C=C3)N4CCN(CC4=O)C(=O)C5=CC=C(C=C5)C#N,-0.7
CN1C2CC(CC1C3C2O3)OC(=O)C(CO)C4=CC=CC=C4,0.23
C[C@@]12CCN([C@@H]1N(C3=C2C=C(C=C3)OC(=O)NC)C)C,0.1
CC1=CC=CC=C1C,0.4
CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)C(F)(F)F,1.44
C(C(F)Br)C(F)(F)F,0.27
CC1C=NC2=C1C(=O)NC(=O)N2C,-0.3
C(C\C(=C(/C)N(Cc1cnc(nc1N)C)C([H])=O)SSC(C)C)OC(C2=CC(c1c(cc(cc1N2)[Cl])[Cl])=O)=O,-0.57
C1CN(CCC1S(=O)(=O)C2=CC=C(C=C2)C#N)CCC3=C(C=C(C=C3)F)F,1.0
C1C[C@H](CNC1)C2=NC3=CC=CC=C3N2CC4=CC=C(C=C4)F,0.39
Brc1cccnc1CSCCNC2=C([N+]([O-])=O)NC=C2,-0.67
CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C,-0.49
CC1CN(CC1C2=NC3=C(C=NN3C4CCOCC4)C(=O)N2)CC5=NC=CC=N5,-0.4
COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O,-0.2
CC1CC(=CC(=O)C1C(=O)OC)NC2=CC(=CC=C2)OC(F)(F)F,-0.17
CN1C=NC2C1C(=O)N(C(=O)N2)C,0.06
COC1=C(C2=C(C[C@@H]3C4=CC(=C(C=C4CCN3C2)OC)OC)C=C1)OC,-0.07
C1CN(CCC1S(=O)(=O)C2=CC=C(C=C2)C(=O)N)CCC3=C(C=C(C=C3)F)F,-0.47
CN1CN(C2(C1=O)CCN(CC2)CCCC(=O)C3=CC=C(S3)[123I])C4=CC=CC=C4,-0.25
CN1CCCCC1CCN2C3=CC=CC=C3SC4=C2C=C(C=C4)SC,0.2
CNS(=O)(=O)CC1=CC2=C(C=C1)NC=C2CCN(C)C,-0.4
CCC1=C2C(=CC=C1)C3=C(N2)C(OCC3)(CC)CC(=O)O,-1.42
CCOC(C)(C)C,0.22
CC1C(=NC=N1)CSCCNC(=NC)NC#N,-1.42
CC(C)CN(C[C@H]([C@H](CC1=CC=CC=C1)NC(=O)O[C@H]2CCOC2)O)S(=O)(=O)C3=CC=C(C=C3)N,-0.56
CCC1(CC(=O)NC1=O)C,-0.3
CC[C@H]1C(=O)N(CC(=O)N([C@H](C(=O)N[C@H](C(=O)N([C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N1)[C@@H]([C@H](C)/C=C/C)O)C)CC(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C,-0.78
CC1=CC=CC=C1C2=C(C=C(C=C2)N)N(C)C(=O)C(C)(C)C3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F,0.34
CN1C(=O)N2C=NC(=C2N=N1)C(=O)N,-0.47
COCCCC/C(=N\OCCN)/C1=CC=C(C=C1)C(F)(F)F,0.79
C1CCC(C1)(C(=O)O)N,-0.43
CCC1(C(=O)NC(=O)NC1=O)C,-0.2
CCCCCC,0.8
CCCCCCCC,0.69
CCCCC(C)C,0.86
Oc1cc(OCCCCOc2ccc3c(OC(C=C3)=O)c2)ccc1C(CC(C)C)=O,-1.52
C1CC(CC1C(C2=CC=CC=C2)(C(=O)NC3CCN(CC3)CC4=NC(=CC=C4)N)O)(F)F,-0.89
CC1=CC=CC=C1N=C2N(CCN2C)C,-1.39
CC1CN2C3=C(CN1CC=C(C)C)C=C(C=C3NC2=S)Cl,0.28
C1=CC(=CC(=C1)C(F)(F)F)/C(=N/OCCCCC(=O)O)/C2=CN=CC=C2,-1.0
CSC1=CC2=C(C=C1)SC3=CC=CC=C3N2CCC4CCCCN4,0.8
